timestamp,people,gaits,env,sound
1757692943.1453454,1,NO GAIT,night|mist,109
1757692943.2174156,1,NO GAIT,night|mist,61
1757692943.2863748,1,NO GAIT,night|mist,43
1757692943.3579268,1,NO GAIT,night|mist,91
1757692943.449126,1,NO GAIT,night|mist,41
1757692943.5310423,1,NO GAIT,night|mist,92
1757692943.6209497,1,NO GAIT,night|mist,43
1757692943.6975775,1,NO GAIT,night|mist,99
1757692943.7711709,1,NO GAIT,night|mist,68
1757692943.8476603,1,NO GAIT,night|mist,59
1757692943.9231668,1,NO GAIT,night|mist,103
1757692944.0126443,1,NO GAIT,night|mist,80
1757692944.0935984,1,NO GAIT,night|mist,108
1757692944.1884646,1,NO GAIT,night|mist,104
1757692944.2779279,1,NO GAIT,night|mist,60
1757692944.3550308,1,NO GAIT,night|mist,42
1757692944.4345064,1,NO GAIT,night|mist,89
1757692944.5161407,1,NO GAIT,night|mist,104
1757692944.591961,1,NO GAIT,night|mist,59
1757692944.6644557,1,NO GAIT,night|mist,64
1757692944.7400804,1,NO GAIT,night|mist,99
1757692944.8116088,1,NO GAIT,night|mist,98
1757692944.8965774,1,NO GAIT,night|mist,69
1757692944.9734652,1,NO GAIT,night|mist,108
1757692945.074364,1,NO GAIT,night|mist,103
1757692945.143146,1,NO GAIT,night|mist,110
1757692945.2176535,1,NO GAIT,night|mist,68
1757692945.299007,1,NO GAIT,night|mist,85
1757692945.3693647,1,NO GAIT,night|mist,47
1757692945.4366965,1,NO GAIT,night|mist,73
1757692945.5193665,1,NO GAIT,night|mist,80
1757692945.6226356,1,NO GAIT,night|mist,96
1757692945.7397113,2,NO GAIT|NO GAIT,night|mist,56
1757692945.85099,2,NO GAIT|NO GAIT,night|mist,92
1757692945.9313693,1,NO GAIT,night|mist,96
1757692946.0044525,1,NO GAIT,night|mist,69
1757692946.0809357,1,NO GAIT,night|mist,44
1757692946.1687036,1,NO GAIT,night|mist,49
1757692946.2430522,1,NO GAIT,night|mist,102
1757692946.3372836,1,NO GAIT,night|mist,55
1757692946.417321,1,NO GAIT,night|mist,109
1757692946.4863126,1,NO GAIT,night|mist,107
1757692946.5569615,1,NO GAIT,night|mist,52
1757692946.6320798,1,NO GAIT,night|mist,70
1757692946.7103693,1,NO GAIT,night|mist,68
1757692946.7849755,1,NO GAIT,night|mist,73
1757692946.8592877,1,NO GAIT,night|mist,88
1757692946.9407754,1,NO GAIT,night|mist,47
1757692947.0177708,1,NO GAIT,night|mist,66
1757692947.0943866,1,NO GAIT,night|mist,42
1757692947.1698294,1,NO GAIT,night|mist,105
1757692947.2529376,1,NO GAIT,night|mist,46
1757692947.3362923,1,NO GAIT,night|mist,60
1757692947.4201248,1,NO GAIT,night|mist,100
1757692947.5001762,1,NO GAIT,night|mist,61
1757692947.579255,1,NO GAIT,night|mist,68
1757692947.6536212,1,NO GAIT,night|mist,48
1757692947.755299,1,NO GAIT,night|mist,94
1757692947.838821,1,NO GAIT,night|mist,88
1757692947.9451427,1,NO GAIT,night|mist,97
1757692948.0367045,1,NO GAIT,night|mist,76
1757692948.1244774,1,NO GAIT,night|mist,101
1757692948.1987333,1,NO GAIT,night|mist,100
1757692948.277779,1,NO GAIT,night|mist,57
1757692948.3475053,1,NO GAIT,night|mist,103
1757692948.4161367,1,NO GAIT,night|mist,81
1757692948.5049796,1,NO GAIT,night|mist,96
1757692948.5740068,1,NO GAIT,night|mist,48
1757692948.6626036,1,NO GAIT,night|mist,57
1757692948.74313,1,NO GAIT,night|mist,71
1757692948.8183763,1,NO GAIT,night|mist,89
1757692948.9058192,1,NO GAIT,night|mist,67
1757692948.990812,1,NO GAIT,night|mist,61
1757692949.076441,1,NO GAIT,night|mist,44
1757692949.1647818,1,NO GAIT,night|mist,103
1757692949.2364173,1,NO GAIT,night|mist,109
1757692949.3140213,1,NO GAIT,night|mist,73
1757692949.3950622,1,NO GAIT,night|mist,54
1757692949.4713376,1,NO GAIT,night|mist,102
1757692949.559651,1,NO GAIT,night|mist,44
1757692949.6282759,1,NO GAIT,night|mist,100
1757692949.7037718,1,NO GAIT,night|mist,87
1757692949.7913988,1,NO GAIT,night|mist,62
1757692949.8632889,1,NO GAIT,night|mist,65
1757692949.947741,1,NO GAIT,night|mist,73
1757692950.0197396,1,NO GAIT,night|mist,77
1757692950.1073735,1,NO GAIT,night|mist,96
1757692950.21905,1,NO GAIT,night|mist,81
1757692950.3105838,1,NO GAIT,night|mist,68
1757692950.394079,1,NO GAIT,night|mist,104
1757692950.465716,1,NO GAIT,night|mist,98
1757692950.5351357,1,NO GAIT,night|mist,82
1757692950.6128678,1,NO GAIT,night|mist,73
1757692950.7166142,1,NO GAIT,night|mist,48
1757692950.7942638,1,NO GAIT,night|mist,73
1757692950.874977,1,NO GAIT,night|mist,90
1757692950.954888,1,NO GAIT,night|mist,100
1757692951.0297594,1,NO GAIT,night|mist,104
1757692951.1176224,1,NO GAIT,night|mist,53
1757692951.2043798,1,NO GAIT,night|mist,75
1757692951.2754374,1,NO GAIT,night|mist,76
1757692951.3655918,1,NO GAIT,night|mist,42
1757692951.4342039,1,NO GAIT,night|mist,99
1757692951.5059123,1,NO GAIT,night|mist,100
1757692951.5854359,1,NO GAIT,night|mist,64
1757692951.6607027,1,NO GAIT,night|mist,108
1757692951.747337,1,NO GAIT,night|mist,101
1757692951.8218374,1,NO GAIT,night|mist,86
1757692951.893879,1,NO GAIT,night|mist,69
1757692951.9777439,1,NO GAIT,night|mist,87
1757692952.0506775,1,NO GAIT,night|mist,81
1757692952.1404133,1,NO GAIT,night|mist,40
1757692952.210693,1,NO GAIT,night|mist,96
1757692952.2985764,1,NO GAIT,night|mist,75
1757692952.3678854,1,NO GAIT,night|mist,64
1757692952.452208,1,NO GAIT,night|mist,107
1757692952.5304115,1,NO GAIT,night|mist,104
1757692952.6067357,1,NO GAIT,night|mist,71
1757692952.6826835,1,NO GAIT,night|mist,49
1757692952.7595005,1,NO GAIT,night|mist,110
1757692952.8316467,1,NO GAIT,night|mist,46
1757692952.9241076,1,NO GAIT,night|mist,43
1757692953.0150023,1,NO GAIT,night|mist,93
1757692953.0996904,1,NO GAIT,night|mist,104
1757692953.1795542,1,NO GAIT,night|mist,85
1757692953.247832,1,NO GAIT,night|mist,93
1757692953.3305247,1,NO GAIT,night|mist,104
1757692953.4183686,1,NO GAIT,night|mist,75
1757692953.5053916,1,NO GAIT,night|mist,83
1757692953.5835874,1,NO GAIT,night|mist,59
1757692953.6579087,1,NO GAIT,night|mist,90
1757692953.7326446,1,NO GAIT,night|mist,94
1757692953.805946,1,NO GAIT,night|mist,85
1757692953.8884423,1,NO GAIT,night|mist,101
1757692953.966689,1,NO GAIT,night|mist,63
1757692954.0269241,0,None,night|mist,68
1757692954.0868342,0,None,night|mist,41
1757692954.1473126,0,None,night|mist,97
1757692954.2077506,0,None,night|mist,67
1757692954.2549577,0,None,night|mist,76
1757692954.3244267,0,None,night|mist,84
1757692954.3824344,0,None,night|mist,88
1757692954.4499185,0,None,night|mist,91
1757692954.5243864,0,None,night|mist,104
1757692954.594716,0,None,night|mist,42
1757692954.646071,0,None,night|mist,76
1757692954.709842,0,None,night|mist,95
1757692954.7628858,0,None,night|mist,55
1757692954.8286617,0,None,night|mist,110
1757692954.8908947,0,None,night|mist,50
1757692954.9651918,0,None,night|mist,102
1757692955.0437949,0,None,night|mist,87
1757692955.1105716,0,None,night|mist,101
1757692955.1728084,0,None,night|mist,104
1757692955.404254,0,None,night|mist,101
1757692955.454446,0,None,night|mist,62
1757692955.5154316,0,None,night|mist,96
1757692955.5821853,0,None,night|mist,106
1757692955.6600928,1,NO GAIT,night|mist,64
